income_year,High school,Bachelor's,premium_pct
2000,983.3898305084745,1576.0152832101983,60.26353276353276
2004,958.2790091264667,1597.1316818774444,66.66666666666666
2008,953.063885267275,1541.7209908735333,61.76470588235296
2012,920.2520643198609,1472.4033029117772,59.999999999999986
2016,930.2093292771258,1558.3079820367955,67.52229127262903
2019,944.5168767202665,1557.9097493843256,64.9425
2020,979.5740982181659,1632.6234970302767,66.6666666666667
2021,980.0086918730987,1625.9235115167319,65.90909090909092
2022,947.9211936839054,1545.5236853541935,63.043478260869556
2023,950.890916992612,1584.8181949876864,66.66666666666663
2024,961.5384615384615,1576.923076923077,63.99999999999999
