income_year,sex_group,High school,Bachelor's,premium_pct
2000,Women,840.5041286397219,1344.8066058235547,59.999999999999964
2000,Men,1155.6931768796176,1891.1342894393742,63.63636363636365
2004,Women,804.9543676662322,1309.6479791395045,62.698412698412675
2004,Men,1117.9921773142112,1852.6727509778357,65.71428571428572
2008,Women,784.8761408083442,1311.864406779661,67.14285714285715
2008,Men,1093.2203389830506,1822.0338983050847,66.6666666666667
2012,Women,788.787483702738,1314.6458061712297,66.66666666666663
2012,Men,1051.7166449369838,1709.0395480225986,62.5
2016,Women,779.1539910183977,1306.9679849340866,67.74193548387098
2016,Men,1055.6279878313776,1759.3799797189627,66.66666666666667
2019,Women,826.4522671302332,1369.5494712443865,65.71428571428572
2019,Men,1062.5814863102999,1794.5820657685063,68.88888888888887
2020,Women,816.3117485151383,1399.3915688830941,71.42857142857142
2020,Men,1119.5132551064753,1865.855425177459,66.66666666666667
2021,Women,833.8983050847456,1380.921338548457,65.5982905982906
2021,Men,1091.373315949587,1893.1986093003043,73.46938775510206
2022,Women,824.2792988555698,1339.4538606403014,62.500000000000064
2022,Men,1040.652614805157,1854.6284224250323,78.21782178217819
2023,Women,792.4090974938432,1386.7159206142255,75
2023,Men,1030.1318267419963,1856.4362233811385,80.21346153846152
2024,Women,800,1384.6153846153845,73.07692307692307
2024,Men,1057.6923076923076,1826.923076923077,72.72727272727273
