age_band,education,median_weekly,weighted_population,observations
25–29,High school,865.3846153846154,3471614.03,1378
25–29,Some college / associate,923.0769230769231,3123288.33,1185
25–29,Bachelor's,1346.1538461538462,4656238.17,1576
25–29,Advanced degree,1538.4615384615386,1529149.58,540
30–34,High school,923.0769230769231,3483982.46,1457
30–34,Some college / associate,1019.2307692307693,3475582.68,1423
30–34,Bachelor's,1500,4846254.76,1783
30–34,Advanced degree,1730.7692307692307,2757844.21,1082
35–39,High school,942.3076923076923,3157580.37,1373
35–39,Some college / associate,1153.8461538461538,3619299.21,1569
35–39,Bachelor's,1634.6153846153845,4579140.77,1915
35–39,Advanced degree,2173.076923076923,2929686.36,1354
40–44,High school,961.5384615384615,3066632.13,1420
40–44,Some college / associate,1153.8461538461538,3357771.33,1553
40–44,Bachelor's,1634.6153846153845,3890636.73,1776
40–44,Advanced degree,2115.3846153846152,3126410.6,1492
45–49,High school,961.5384615384615,2944230.62,1297
45–49,Some college / associate,1260.6346153846155,2982021.11,1383
45–49,Bachelor's,1730.7692307692307,3573809.18,1588
45–49,Advanced degree,2211.5384615384614,2759202.81,1264
50–54,High school,1000,2888782.63,1221
50–54,Some college / associate,1250,2911871.78,1228
50–54,Bachelor's,1730.7692307692307,3163555.44,1306
50–54,Advanced degree,2211.5384615384614,2620704.96,1062
55–59,High school,961.5384615384615,2901766.6,1160
55–59,Some college / associate,1250,2734795.94,1063
55–59,Bachelor's,1730.7692307692307,3000650.86,1188
55–59,Advanced degree,1980.7692307692307,1845486.46,714
60–64,High school,1019.2307692307693,2456487.98,1027
60–64,Some college / associate,1182.5961538461538,2469463.1,982
60–64,Bachelor's,1692.3076923076924,2032209.7,784
60–64,Advanced degree,2115.3846153846152,1487950.73,586
