income_year,education,median_weekly,weighted_population,observations
2000,High school,983.3898305084745,26310759.26,20054
2000,Some college / associate,1190.7141822396059,24604486.28,18861
2000,Bachelor's,1576.0152832101983,18295549.91,13538
2000,Advanced degree,2101.2603215993045,9054463.09,6726
2004,High school,958.2790091264667,25918713.8,18286
2004,Some college / associate,1181.8774445893089,24041256.79,17386
2004,Bachelor's,1597.1316818774444,19055441.63,13229
2004,Advanced degree,2076.271186440678,10207583.52,7018
2008,High school,953.063885267275,24675302.14,16631
2008,Some college / associate,1121.251629726206,25006262.02,17287
2008,Bachelor's,1541.7209908735333,20899404.43,14063
2008,Advanced degree,2018.2529335071706,11652708.17,7976
2012,High school,920.2520643198609,22727936.05,14651
2012,Some college / associate,1078.0095610604085,24340559.21,15875
2012,Bachelor's,1472.4033029117772,22547803.4,14335
2012,Advanced degree,1998.2616253802694,12730753.31,8358
2016,High school,930.2093292771258,23981494.25,13808
2016,Some college / associate,1127.5802222960745,26278674.91,15064
2016,Bachelor's,1558.3079820367955,24785767.02,13881
2016,Advanced degree,2010.7199768216715,14963653,8481
2019,High school,944.5168767202665,24461042.4465,11458
2019,Some college / associate,1180.646095900333,25929238.1873,12547
2019,Bachelor's,1557.9097493843256,28431456.6756,12926
2019,Advanced degree,2125.1629726205997,17094891.1676,8274
2020,High school,979.5740982181659,20571455.6831,10292
2020,Some college / associate,1166.1596407359118,22151146.5084,11173
2020,Bachelor's,1632.6234970302767,26519317.1306,12505
2020,Advanced degree,2099.0873533246413,16972725.5001,8259
2021,High school,980.0086918730987,23951061.78,11021
2021,Some college / associate,1113.6462407648849,24157160.81,11067
2021,Bachelor's,1625.9235115167319,28207693.2,12438
2021,Advanced degree,2084.7457627118642,17472472.06,8029
2022,High school,947.9211936839054,24729156.85,10799
2022,Some college / associate,1092.17007098363,24785506.33,10866
2022,Bachelor's,1545.5236853541935,28977354.9,12157
2022,Advanced degree,2019.4842821961463,18104790.48,7956
2023,High school,950.890916992612,24607198.55,10696
2023,Some college / associate,1109.3727364913807,24567649.53,10645
2023,Bachelor's,1584.8181949876864,29238561.03,12157
2023,Advanced degree,1981.0227437346084,18118641.82,7811
2024,High school,961.5384615384615,24371076.82,10333
2024,Some college / associate,1153.8461538461538,24674093.48,10386
2024,Bachelor's,1576.923076923077,29742495.61,11916
2024,Advanced degree,1961.5384615384614,19056435.71,8094
